,BMD,MECHANICS_STIFFNESS,CORT_DTO__C_TH,CORT_DTO__C_TH_SD,CORT_MOM__J,CT_TH_RAD,CT_TH_RAD_STD,CANAL_VOLUME,CANAL_COUNT,CANAL_DENSITY,CANAL_FRACTION,CANAL_PRIMARY,CANAL_THETA_Z,LACUNA_COUNT,LACUNA_VOLUME,LACUNA_DENSITY,LACUNA_FRACTION,LACUNA_ANISOTROPY,LACUNA_OBLATENESS,LACUNA_PRIMARY,LACUNA_PRIMARY_Z,LACUNA_SECONDARY,DISTRIBUTION_AISO,DISTRIBUTION_OBLATENESS,CANAL_VOLUME_CV,CANAL_THETA,CANAL_THETA_CV,CANAL_PCA1,CANAL_PCA1_CV,CANAL_PCA2,CANAL_PCA2_CV,CANAL_PCA3,CANAL_PCA3_CV,FEMALE,ID
929,0.0375,61.460485515,0.18842799999999998,0.015279,0.158255,86.1991515567,13.6952451166,23935.287786099998,342.0,349.32222819099997,0.008361128061839999,0.6464008995889999,42.2757742846,37688.0,292.193069824,40831.4225001,0.0119306586856,0.6792581276880001,-0.294889065244,0.8591290487909999,0.998508652983,0.5734367048,0.511495743783,0.6546341002530001,1.6862849031799998,47.3405749917,0.525897734279,220.020793043,1.1213449403799998,64.9827856323,0.9956454715019999,30.829389209499997,0.591121574758,1,2434
930,0.0314,57.666520197,0.183671,0.02292,0.11071600000000001,82.0941850096,19.1634965889,50924.56027,200.0,252.18893977,0.0128426108627,0.613856362709,41.3767359406,32748.0,277.561438586,42960.925215400006,0.0119242962058,0.6667954978689999,-0.361333800868,0.785581623152,0.999530898522,0.454104501408,0.203342937988,0.545964754017,1.6058362609399999,46.614631711,0.5458918185639999,231.681039042,1.1287409993200002,67.3806511129,0.927070420398,30.1891722916,0.7569280019679999,0,2435
931,0.0324,52.538418504,0.164431,0.01817,0.12526800000000002,86.70561906180001,21.195829911500002,62760.8455732,135.0,188.76339562799998,0.0118469503229,0.71056907066,45.6924850154,26094.0,272.273314367,35610.1867075,0.00969570356008,0.697441773451,-0.390229143988,0.890424321293,0.9968166572820001,0.647387393392,0.235672284428,0.5858236612919999,2.33589669373,50.5391377412,0.46480549626100004,178.68743287700002,0.828336071013,48.550200178199994,0.547727969023,26.5965998632,0.511248029634,1,2436
932,0.0334,57.290028938999995,0.177557,0.015228,0.136729,83.7652772255,16.9581032983,42036.603933599996,184.0,237.495400794,0.009983500099240001,0.768137020922,46.748819187799995,32342.0,277.941681112,41301.707714,0.0114794660748,0.668800917863,-0.311652203329,0.847740007536,0.999262194128,0.5218217243159999,0.20198820996199998,0.7993831171410001,1.56788021879,52.0302661912,0.458248005718,206.501841404,0.9297092995730001,62.3220182947,0.772254764985,29.9476288481,0.500947782037,1,2446
933,0.0352,55.116910133999994,0.188809,0.016987000000000002,0.142799,93.3478188783,27.369190244000002,51881.4087583,316.0,340.186385884,0.0176493489401,0.689697070371,42.3498309705,40233.0,330.346750646,45356.685894199996,0.014983433805200001,0.678413546249,-0.27920737886,0.852679039824,0.998793653201,0.5606497249719999,0.582245428313,0.6954805137989999,1.67552618016,47.5396701265,0.526482880068,216.929512205,0.820454717454,59.8802204992,0.626227324484,32.1221143432,0.471237557855,1,2447
934,0.035,52.11755406,0.183083,0.015767,0.125642,89.8931263491,19.2182218123,31389.186645700003,255.0,278.402919374,0.008738841198959998,0.7458788873960001,45.52816535,35353.0,298.185748364,41001.248049,0.012225987833399999,0.686987685845,-0.351801101078,0.861407471902,0.997667750072,0.55605033812,0.29945017390900003,0.549593843689,1.68941194006,50.06463568109999,0.449939340416,186.71293672,0.7673528891570001,62.1022172003,0.674853733804,31.653913286799998,0.556761900729,1,2448
935,0.0341,46.956372606,0.190155,0.019747999999999998,0.11498399999999999,93.6289062673,22.605575980700003,45752.041495699996,228.0,253.76063249799998,0.011610066987999998,0.814483125968,50.9726903821,33801.0,279.856413524,39100.552241000005,0.010942540317,0.680066296899,-0.364325318802,0.8622719892049999,0.9998970667370001,0.589122580093,0.289807750336,0.47805419683300004,1.7298546845400002,56.3051808329,0.393478504493,219.005138425,0.8425219313369999,70.35540082039999,0.7354393874230001,34.3115974885,0.681610020219,1,2449
936,0.0361,70.941741156,0.181084,0.015777,0.147299,92.24747560760001,23.687490685700002,24419.6543593,235.0,274.948094203,0.00671413742719,0.7684153687180001,49.727160159200004,40389.0,301.834868811,45470.537739,0.0137245937932,0.690941770975,-0.31078376696800003,0.8448544950139999,0.9993126548160001,0.515490468431,0.570547255959,0.802071745176,1.42018547378,55.267380385500005,0.415312875339,187.486725237,1.34177632374,61.451343700100004,1.03308804554,29.6599690303,0.606853001674,0,2450
937,0.0357,53.299407447,0.170958,0.017422999999999998,0.1251,88.09627865979999,26.5088183788,27802.041773900004,252.0,317.597455382,0.00882985772182,0.75627408484,48.490708953,35497.0,282.719762765,43608.1433891,0.0123288839536,0.6705316072649999,-0.346296346643,0.854747797231,0.999729128215,0.554661433464,0.38143121049,0.508378140668,1.5322594809099999,53.0379695788,0.411007310009,215.258981819,1.14247875498,59.347089151800006,0.882053829706,29.5361780884,0.555360626855,0,2451
938,0.0334,49.065116958000004,0.170983,0.014908000000000001,0.125176,75.5441652076,15.7142477382,38378.489846699995,300.0,379.86604182400004,0.014578685029200001,0.763513910503,47.9239600104,36609.0,295.838170682,50441.354540199995,0.014922478053899998,0.6629476304240001,-0.347758708021,0.81209001492,0.9990814179090001,0.476728253328,0.46189790341000003,0.5283200950320001,1.7360601498900001,52.8503957994,0.427371067601,196.00401197099998,0.771901092394,67.3424387587,0.7720238205589999,33.593820379200004,0.6648258065339999,0,2452
939,0.0348,47.154490812,0.15567,0.016718,0.10484600000000001,77.6079853002,12.8757577123,28202.130987299995,180.0,256.696157181,0.007239378648770001,0.802299949443,51.877135805600005,31508.0,293.01850496099996,42141.990517800004,0.012348383057600002,0.681517371682,-0.31905567992600004,0.856179991458,0.9965760977629999,0.537790530269,0.23371286048,0.416823835007,1.6219448204299998,57.7230416082,0.396332129589,186.59695730200002,1.02501180363,62.935128243,0.8904403083560001,31.893308945300003,0.609310356013,0,2453
